[I 2025-11-15 11:36:14,954] Trial 0 finished with value: 0.3685276691730206 and parameters: {'lr': 0.0007014193377898545, 'momentum': 0.8129233930895721, 'weight_decay': 0.0005182209779786103, 'step_size': 5, 'gamma': 0.25137890204454705, 'batch_size': 8}. Best is trial 0 with value: 0.3685276691730206.
[I 2025-11-15 11:37:15,873] Trial 1 finished with value: 0.32157524617818684 and parameters: {'lr': 0.005045578819686325, 'momentum': 0.8392077312703774, 'weight_decay': 0.00024409954441106984, 'step_size': 3, 'gamma': 0.22384615170305927, 'batch_size': 8}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:38:22,715] Trial 2 finished with value: 0.37371569633483886 and parameters: {'lr': 0.00045347242529817126, 'momentum': 0.8111842572317985, 'weight_decay': 0.000335421999180504, 'step_size': 3, 'gamma': 0.13394054211100756, 'batch_size': 2}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:39:26,890] Trial 3 finished with value: 0.33795585453510285 and parameters: {'lr': 0.0023127293414866765, 'momentum': 0.891753847050641, 'weight_decay': 1.6751701075537026e-05, 'step_size': 5, 'gamma': 0.2661575364398501, 'batch_size': 4}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:40:30,171] Trial 4 finished with value: 0.3645118589584644 and parameters: {'lr': 0.0008954084896556072, 'momentum': 0.8877558082591904, 'weight_decay': 3.460803297405893e-05, 'step_size': 5, 'gamma': 0.26092340619172405, 'batch_size': 8}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:41:33,245] Trial 5 finished with value: 0.3477368175983429 and parameters: {'lr': 0.0017975002065415994, 'momentum': 0.8964593735735987, 'weight_decay': 1.2595962790902558e-05, 'step_size': 4, 'gamma': 0.18126885814113658, 'batch_size': 4}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:42:38,196] Trial 6 finished with value: 0.3401231184601784 and parameters: {'lr': 0.006389964091385592, 'momentum': 0.8571432463180059, 'weight_decay': 0.0007525824672920566, 'step_size': 3, 'gamma': 0.14705665413890354, 'batch_size': 2}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:43:38,638] Trial 7 finished with value: 0.3618467106268956 and parameters: {'lr': 0.0002976496615111457, 'momentum': 0.872184358960412, 'weight_decay': 0.0009257303817438847, 'step_size': 4, 'gamma': 0.10855272663043941, 'batch_size': 8}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:44:40,549] Trial 8 finished with value: 0.3542987644672394 and parameters: {'lr': 0.0017647508392017858, 'momentum': 0.8279578359538348, 'weight_decay': 1.808505828095538e-05, 'step_size': 2, 'gamma': 0.24342818005907665, 'batch_size': 4}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:45:40,981] Trial 9 finished with value: 0.3993220031261444 and parameters: {'lr': 0.00019539324865718935, 'momentum': 0.8612703086349605, 'weight_decay': 0.00019725692763228816, 'step_size': 3, 'gamma': 0.2187644467108063, 'batch_size': 8}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:46:41,693] Trial 10 finished with value: 0.34245748932545 and parameters: {'lr': 0.0070916187804439, 'momentum': 0.8339557148570462, 'weight_decay': 7.780625974238309e-05, 'step_size': 2, 'gamma': 0.29694392370747325, 'batch_size': 8}. Best is trial 1 with value: 0.32157524617818684.
[I 2025-11-15 11:47:44,185] Trial 11 finished with value: 0.3209226667881012 and parameters: {'lr': 0.003098035153291582, 'momentum': 0.8410048708915485, 'weight_decay': 0.00010150723371626017, 'step_size': 4, 'gamma': 0.2970816966432238, 'batch_size': 4}. Best is trial 11 with value: 0.3209226667881012.
[I 2025-11-15 11:48:46,232] Trial 12 finished with value: 0.34114682376384736 and parameters: {'lr': 0.003816022213133313, 'momentum': 0.8383291287640193, 'weight_decay': 0.00010803018154792815, 'step_size': 4, 'gamma': 0.2981216348489789, 'batch_size': 4}. Best is trial 11 with value: 0.3209226667881012.
[I 2025-11-15 11:49:48,701] Trial 13 finished with value: 0.34710119783878324 and parameters: {'lr': 0.0034543052091554143, 'momentum': 0.8458439094040269, 'weight_decay': 0.00011924611380309287, 'step_size': 3, 'gamma': 0.19240418490982736, 'batch_size': 4}. Best is trial 11 with value: 0.3209226667881012.
[I 2025-11-15 11:50:53,391] Trial 14 finished with value: 0.29629021406173706 and parameters: {'lr': 0.009545592965947251, 'momentum': 0.821481641081652, 'weight_decay': 4.677198162075667e-05, 'step_size': 4, 'gamma': 0.21626022971723102, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:51:58,166] Trial 15 finished with value: 0.3373172450065613 and parameters: {'lr': 0.008905761856947903, 'momentum': 0.8220502394440422, 'weight_decay': 4.4993773211398826e-05, 'step_size': 4, 'gamma': 0.16796153174898265, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:53:02,910] Trial 16 finished with value: 0.33909780740737916 and parameters: {'lr': 0.002804311810224352, 'momentum': 0.8038946537555907, 'weight_decay': 4.202571509363846e-05, 'step_size': 4, 'gamma': 0.2760425327838031, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:54:07,677] Trial 17 finished with value: 0.3516881611943245 and parameters: {'lr': 0.0014774050348666506, 'momentum': 0.821058528170843, 'weight_decay': 6.525307512920436e-05, 'step_size': 5, 'gamma': 0.2170932331781529, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:55:14,153] Trial 18 finished with value: 0.32043193876743314 and parameters: {'lr': 0.0094996200585803, 'momentum': 0.8492719237521743, 'weight_decay': 2.620466305943704e-05, 'step_size': 4, 'gamma': 0.23133350247407208, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:56:20,343] Trial 19 finished with value: 0.3293820124864578 and parameters: {'lr': 0.009769430430184642, 'momentum': 0.8788289444325977, 'weight_decay': 2.6181363665125837e-05, 'step_size': 5, 'gamma': 0.23599535693794477, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:57:26,756] Trial 20 finished with value: 0.33280431509017944 and parameters: {'lr': 0.004766340680465689, 'momentum': 0.8538415632026684, 'weight_decay': 2.8884657771244268e-05, 'step_size': 4, 'gamma': 0.20384195263008265, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:58:32,318] Trial 21 finished with value: 0.31188435763120653 and parameters: {'lr': 0.005721960287727505, 'momentum': 0.8464566746262217, 'weight_decay': 5.658794718559286e-05, 'step_size': 4, 'gamma': 0.27727105979604877, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:59:36,901] Trial 22 finished with value: 0.30296196818351745 and parameters: {'lr': 0.009676090830176684, 'momentum': 0.8682171761606992, 'weight_decay': 5.6369851858203147e-05, 'step_size': 4, 'gamma': 0.28029355467144634, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:00:41,670] Trial 23 finished with value: 0.30530316025018694 and parameters: {'lr': 0.005776304927166265, 'momentum': 0.866749134371421, 'weight_decay': 6.958861707393446e-05, 'step_size': 4, 'gamma': 0.280175225266159, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:01:46,381] Trial 24 finished with value: 0.32122601568698883 and parameters: {'lr': 0.006790482702487139, 'momentum': 0.8671453482686815, 'weight_decay': 0.00014752382182443656, 'step_size': 3, 'gamma': 0.28013941147628274, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:02:51,595] Trial 25 finished with value: 0.32573050558567046 and parameters: {'lr': 0.004833031970861079, 'momentum': 0.8754971060692758, 'weight_decay': 7.251007963434625e-05, 'step_size': 4, 'gamma': 0.2566594127775163, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:03:56,622] Trial 26 finished with value: 0.37172048836946486 and parameters: {'lr': 0.0011914667648712386, 'momentum': 0.8648663900900004, 'weight_decay': 0.00015770330858234176, 'step_size': 5, 'gamma': 0.20587731621514146, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:05:02,797] Trial 27 finished with value: 0.3223708537220955 and parameters: {'lr': 0.007433112453709613, 'momentum': 0.8849513219429478, 'weight_decay': 4.9825946357986826e-05, 'step_size': 4, 'gamma': 0.2827981119745702, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:06:07,470] Trial 28 finished with value: 0.3812671783566475 and parameters: {'lr': 0.00011506572210127092, 'momentum': 0.879025222485481, 'weight_decay': 8.331057839076008e-05, 'step_size': 3, 'gamma': 0.1680294014050976, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:07:12,570] Trial 29 finished with value: 0.34679144144058227 and parameters: {'lr': 0.0006809905816239422, 'momentum': 0.8707346037269249, 'weight_decay': 0.0003279830497037554, 'step_size': 5, 'gamma': 0.24477740103621287, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:08:17,263] Trial 30 finished with value: 0.34475778073072433 and parameters: {'lr': 0.00246591439387137, 'momentum': 0.8599935579906544, 'weight_decay': 2.0069960599563395e-05, 'step_size': 5, 'gamma': 0.26297627318149674, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:09:22,190] Trial 31 finished with value: 0.33372383803129196 and parameters: {'lr': 0.005663439985237993, 'momentum': 0.8517444127559548, 'weight_decay': 5.665686259962453e-05, 'step_size': 4, 'gamma': 0.2757504343963567, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:10:26,981] Trial 32 finished with value: 0.33342440515756605 and parameters: {'lr': 0.004180168166007379, 'momentum': 0.8119043358366963, 'weight_decay': 5.711663117369105e-05, 'step_size': 4, 'gamma': 0.28561819163766056, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:11:31,704] Trial 33 finished with value: 0.3262620252370834 and parameters: {'lr': 0.009787235549921298, 'momentum': 0.819756668797407, 'weight_decay': 3.856611179312085e-05, 'step_size': 4, 'gamma': 0.2457356164610913, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:12:36,562] Trial 34 finished with value: 0.33603118449449537 and parameters: {'lr': 0.006092033972417583, 'momentum': 0.8330457255617246, 'weight_decay': 8.562720073442772e-05, 'step_size': 4, 'gamma': 0.27048518443113856, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:13:41,638] Trial 35 finished with value: 0.34070562541484833 and parameters: {'lr': 0.004719222276420755, 'momentum': 0.8037324113446342, 'weight_decay': 3.357804893118716e-05, 'step_size': 3, 'gamma': 0.253108620142061, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
